version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,properties,yolov5l-coco-torch,0.75,500,441,0.882,0.6405703524347592,0.5695470851892798,0.7111606642119883
16,properties,yolov5m-coco-torch,0.75,500,445,0.89,0.7080286006128703,0.632171747792744,0.7923310406567973
16,properties,yolov5n-coco-torch,0.75,500,480,0.96,0.7764583333333334,0.6662171163758507,0.892297573592247
16,properties,yolov5s-coco-torch,0.75,500,451,0.902,0.6903479795465858,0.6160132038816476,0.7754170629864133
16,properties,yolov5x-coco-torch,0.75,500,425,0.85,0.6944941176470588,0.6316915380345317,0.7619677754225693
16,properties,yolov8l-coco-torch,0.75,500,431,0.862,0.6898517098759205,0.6285348612686493,0.7587049526902152
16,properties,yolov8m-coco-torch,0.75,500,446,0.892,0.7113851519681116,0.628800041494418,0.790043064453362
16,properties,yolov8n-coco-torch,0.75,500,476,0.952,0.7227766106442577,0.6054240113530988,0.8413917100055605
16,properties,yolov8s-coco-torch,0.75,500,456,0.912,0.6820923046251993,0.5915088144927383,0.7706837033836514
16,properties,yolov8x-coco-torch,0.75,500,425,0.85,0.6633568627450981,0.6024700322822739,0.731382822711692
16,properties,yolov9c-coco-torch,0.75,500,434,0.868,0.6816785365172462,0.6146491859903924,0.7511490417885953
16,properties,yolov9e-coco-torch,0.75,500,427,0.854,0.6705591735908376,0.6038183621891109,0.7364529031890871
16,random,detection-transformer-torch,0.25,1000,323,0.323,0.6558231315537955,0.6234908288809207,0.6873204398932992
16,random,dfine-large-coco-torch,0.25,1000,53,0.053,0.5651311988205057,0.4977319968625571,0.6352462569367808
16,random,dfine-medium-coco-torch,0.25,1000,49,0.049,0.5196570741861414,0.4456487552042002,0.5970281695522199
16,random,dfine-nano-coco-torch,0.25,1000,114,0.114,0.6114213298483229,0.5625533829626913,0.6609775496770888
16,random,dfine-small-coco-torch,0.25,1000,68,0.068,0.5768587477909619,0.5133980378447307,0.6442346128316384
16,random,dfine-xlarge-coco-torch,0.25,1000,38,0.038,0.5790978225188752,0.4968083123226622,0.663985731190495
16,random,faster-rcnn-resnet50-fpn-coco-torch,0.25,1000,147,0.147,0.5339657551179909,0.48919779439710526,0.5760550555202003
16,random,retinanet-resnet50-fpn-coco-torch,0.25,1000,88,0.088,0.6021232057416268,0.5450534294375493,0.6583638558384917
16,random,rfdetr-base-coco-torch,0.25,1000,102,0.102,0.603012140268134,0.5452561135036607,0.6550382433321886
16,random,rfdetr-large-coco-torch,0.25,1000,100,0.1,0.6214111111111111,0.5690194800619981,0.6727574494629707
16,random,rfdetr-medium-coco-torch,0.25,1000,97,0.097,0.6186537429644599,0.5662337363968156,0.6738323577258735
16,random,rfdetr-nano-coco-torch,0.25,1000,137,0.137,0.6499902732785817,0.6044287651748467,0.6973076162328934
16,random,rfdetr-small-coco-torch,0.25,1000,97,0.097,0.6254409699626674,0.5759291063200976,0.6795196967378611
