version,model,level,prediction,baseline,n_train,metric,prompt_strategy
17,dfine-xlarge-coco-torch,2,0.7549323939110942,0.6745152423554631,297,detection_quality,zeroshot
17,dfine-xlarge-coco-torch,3,0.6511949874113937,0.6745152423554631,593,detection_quality,zeroshot
17,dfine-xlarge-coco-torch,4,0.5018732234491418,0.6745152423554631,81,detection_quality,zeroshot
17,dfine-xlarge-coco-torch,5,0.5018732234491418,0.6745152423554631,0,detection_quality,zeroshot
17,faster-rcnn-resnet50-fpn-coco-torch,1,0.650152423537605,0.4571821627712276,29,detection_quality,zeroshot
17,faster-rcnn-resnet50-fpn-coco-torch,2,0.5167969295362408,0.4571821627712276,297,detection_quality,zeroshot
17,faster-rcnn-resnet50-fpn-coco-torch,3,0.42260987302132563,0.4571821627712276,593,detection_quality,zeroshot
17,faster-rcnn-resnet50-fpn-coco-torch,4,0.42260987302132563,0.4571821627712276,81,detection_quality,zeroshot
17,faster-rcnn-resnet50-fpn-coco-torch,5,0.42260987302132563,0.4571821627712276,0,detection_quality,zeroshot
17,retinanet-resnet50-fpn-coco-torch,1,0.7721120190759109,0.5354168576162636,29,detection_quality,zeroshot
17,retinanet-resnet50-fpn-coco-torch,2,0.6405356972006091,0.5354168576162636,297,detection_quality,zeroshot
17,retinanet-resnet50-fpn-coco-torch,3,0.4881676830740513,0.5354168576162636,593,detection_quality,zeroshot
17,retinanet-resnet50-fpn-coco-torch,4,0.41114902384653845,0.5354168576162636,81,detection_quality,zeroshot
17,retinanet-resnet50-fpn-coco-torch,5,0.41114902384653845,0.5354168576162636,0,detection_quality,zeroshot
17,rfdetr-base-coco-torch,1,0.7929587546364092,0.6102507714780702,29,detection_quality,zeroshot
17,rfdetr-base-coco-torch,2,0.72188873760626,0.6102507714780702,297,detection_quality,zeroshot
17,rfdetr-base-coco-torch,3,0.5715543970022435,0.6102507714780702,593,detection_quality,zeroshot
17,rfdetr-base-coco-torch,4,0.41879327286698237,0.6102507714780702,81,detection_quality,zeroshot
17,rfdetr-base-coco-torch,5,0.41879327286698237,0.6102507714780702,0,detection_quality,zeroshot
17,rfdetr-large-coco-torch,1,0.8118988167227232,0.6255005349636037,29,detection_quality,zeroshot
17,rfdetr-large-coco-torch,2,0.7331600120571456,0.6255005349636037,297,detection_quality,zeroshot
17,rfdetr-large-coco-torch,3,0.5880242366511591,0.6255005349636037,593,detection_quality,zeroshot
17,rfdetr-large-coco-torch,4,0.4383774489325252,0.6255005349636037,81,detection_quality,zeroshot
17,rfdetr-large-coco-torch,5,0.4383774489325252,0.6255005349636037,0,detection_quality,zeroshot
17,rfdetr-medium-coco-torch,1,0.8140364369294857,0.6216880083487929,29,detection_quality,zeroshot
17,rfdetr-medium-coco-torch,2,0.7309131091365043,0.6216880083487929,297,detection_quality,zeroshot
17,rfdetr-medium-coco-torch,3,0.5851212967629957,0.6216880083487929,593,detection_quality,zeroshot
17,rfdetr-medium-coco-torch,4,0.42003492943010745,0.6216880083487929,81,detection_quality,zeroshot
17,rfdetr-medium-coco-torch,5,0.42003492943010745,0.6216880083487929,0,detection_quality,zeroshot
